car_name,brand,car_model,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Fielder 2011,Toyota,Fielder,2016,Automatic,Estate,CNG,1500,45852,1200000
Toyota Noah 2005,Toyota,Noah,2010,Automatic,Hatchback,CNG,1998,219630,1200000
Toyota LiteAce 2001,Toyota,LiteAce,2001,Manual,null,CNG,1800,102000,165000
Maruti Suzuki Vitara Brezza 1994,Maruti Suzuki,Vitara Brezza,1994,Manual,null,CNG,1600,113000,230000
Toyota Starlet good 1992,Toyota,Starlet,1992,Automatic,Saloon,CNG,1300,15000,330000
Toyota Carina 1991,Toyota,Carina,1998,Automatic,Saloon,CNG,1500,60720,200000
Toyota Corolla 2004,Toyota,Corolla,2009,Automatic,Saloon,CNG,1500,70000,950000
Mitsubishi Pajero 1998,Mitsubishi,Pajero,2000,Manual,SUV / 4x4,CNG,2350,750000,960000
Toyota Axio HYBRID 2016,Toyota,Axio,2016,Automatic,Saloon,"CNG, Hybrid",1500,96000,1830000
Toyota Hundred St. Wagon 1996,Toyota,Other Model,1996,Automatic,Estate,"CNG, Octane",1331,120000,350000
Toyota Fielder G-EDITION 2001,Toyota,Fielder,2001,Automatic,Estate,"CNG, Octane",1500,75000,799000
Toyota Fielder fresh G Edition 2001,Toyota,Fielder,2001,Automatic,Estate,"CNG, Octane",1500,79250,785000
Toyota Succeed ULX 2002,Toyota,Succeed,2002,Automatic,Estate,"CNG, Octane",1500,75000,599000
Toyota Probox GL 2003,Toyota,Probox,2003,Automatic,Estate,"CNG, Octane",1300,84000,570000
Toyota Probox super fresh 2003,Toyota,Probox,2003,Automatic,Estate,"CNG, Octane",1500,68425,675000
Toyota Probox Dx 2003,Toyota,Probox,2003,Automatic,Estate,"CNG, Octane",1500,85000,625000
Toyota Succeed WHITE-ULX-PKG 2003,Toyota,Succeed,2003,Automatic,Estate,"CNG, Octane",1500,74500,599000
Toyota Fielder -X 2004,Toyota,Fielder,2004,Automatic,Estate,"CNG, Octane",1500,75050,955000
Toyota Fielder 40 UNNIVERSARY 2004,Toyota,Fielder,2004,Automatic,Estate,"CNG, Octane",1500,98112,935000
Toyota Fielder super fresh 2004,Toyota,Fielder,2004,Automatic,Estate,"CNG, Octane",1500,68465,985000
Toyota Fielder ৪এর নিউ সেপ 2004,Toyota,Fielder,2004,Automatic,Estate,"CNG, Octane",1500,65000,1050000
